phenotype_id	phenotype_name	study_id	study_name	study_status	dataset_type	raw_dataset_id	nber_dgrp_lines	nber_sex_female	nber_sex_male	nber_sex_na	is_numeric	is_continuous	summary_type	unit	description
20	mn_Surv_Azinpho_0_25	3	Battlay et al., 2016	integrated	summary		178	0	0	178	true	true	mean	NA	Mean azinphos-methyl survival to pupation at single 0.25 µg/ml dose
21	mn_Surv_Azinpho_0_5	3	Battlay et al., 2016	integrated	summary		178	0	0	178	true	true	mean	NA	Mean azinphos-methyl survival to pupation at single 0.5 µg/ml dose
22	mn_Surv_Azinpho_1_0	3	Battlay et al., 2016	integrated	summary		178	0	0	178	true	true	mean	NA	Mean azinphos-methyl survival to pupation at single 1 µg/ml dose
23	mn_Surv_Azinpho_2_0	3	Battlay et al., 2016	integrated	summary		178	0	0	178	true	true	mean	NA	Mean azinphos-methyl survival to pupation at single 2 µg/ml dose
24	LD50_Azinphos_Methyl	3	Battlay et al., 2016	integrated	summary		178	0	0	178	true	true	NA	NA	50% lethal dose (LD<sub>50</sub>) to azinphos-methyl
113	pc_Progeny_P1	8	Chow et al., 2013	integrated	summary		38	0	0	38	true	true	mean	Proportion / Ratio	 P1 as the proportion of progeny from the first male after the second mating (progeny was sorted by eye color)
114	Progeny_Total	8	Chow et al., 2013	integrated	summary		38	0	0	38	true	true	mean	NA	 Total Progeny as the number of progeny from each doubly mated female (irrespective of male parent, progeny was sorted by eye color)
115	pc_Remating_Female	8	Chow et al., 2013	integrated	summary		39	0	0	39	true	true	NA	Proportion / Ratio	Remating rate as the proportion of the 30 females that mate with a second male (progeny was sorted by eye color)
1234	Microbiota_OTU001	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Lactobacillales</i>][family=<i>Lactobacillaceae</i>][genus=<i>Lactobacillus</i>][species=<i>Lactobacillusbrevis</i>] (OTU_ID: 001)
1235	Microbiota_OTU002	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 002)
1236	Microbiota_OTU003	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 003)
1237	Microbiota_OTU004	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Gammaproteobacteria</i>][order=<i>Xanthomonadales</i>][family=<i>Xanthomonadaceae</i>][genus=NA][species=NA] (OTU_ID: 004)
1238	Microbiota_OTU005	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Gluconacetobacter</i>][species=NA] (OTU_ID: 005)
1239	Microbiota_OTU006	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Betaproteobacteria</i>][order=<i>Burkholderiales</i>][family=<i>Comamonadaceae</i>][genus=<i>Comamonas</i>][species=NA] (OTU_ID: 006)
1240	Microbiota_OTU007	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Lactobacillales</i>][family=<i>Lactobacillaceae</i>][genus=<i>Lactobacillus</i>][species=NA] (OTU_ID: 007)
1241	Microbiota_OTU008	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Bacillales</i>][family=<i>Paenibacillaceae</i>][genus=<i>Brevibacillus</i>][species=<i>Brevibacillusthermoruber</i>] (OTU_ID: 008)
1242	Microbiota_OTU009	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Gluconobacter</i>][species=NA] (OTU_ID: 009)
1243	Microbiota_OTU010	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Betaproteobacteria</i>][order=<i>Burkholderiales</i>][family=<i>Alcaligenaceae</i>][genus=<i>Achromobacter</i>][species=NA] (OTU_ID: 010)
1244	Microbiota_OTU011	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Lactobacillales</i>][family=<i>Lactobacillaceae</i>][genus=<i>Lactobacillus</i>][species=<i>Lactobacilluspentosus</i>] (OTU_ID: 011)
1245	Microbiota_OTU012	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhodospirillales</i>][family=<i>Acetobacteraceae</i>][genus=<i>Acetobacter</i>][species=NA] (OTU_ID: 012)
1246	Microbiota_OTU013	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Alphaproteobacteria</i>][order=<i>Rhizobiales</i>][family=<i>Brucellaceae</i>][genus=<i>Ochrobactrum</i>][species=NA] (OTU_ID: 013)
1247	Microbiota_OTU014	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Betaproteobacteria</i>][order=<i>Burkholderiales</i>][family=<i>Comamonadaceae</i>][genus=<i>Delftia</i>][species=NA] (OTU_ID: 014)
1248	Microbiota_OTU015	7	Chaston et al., 2016	integrated	summary		79	0	79	0	true	true	NA	NA	OTU taxon abundance in microbiota composition [class=<i>Bacilli</i>][order=<i>Bacillales</i>][family=<i>Paenibacillaceae</i>][genus=<i>Paenibacillus</i>][species=<i>Paenibacilluschondroitinus</i>] (OTU_ID: 015)
